gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,Input,Symbol,Feature Type
ENSMUSG00000004035.12,111.1935764,-2.384195521,0.34724621,-6.866008756,6.6023E-12,1.02864E-10,ENSMUSG00000004035,ENSMUSG00000004035,Gstm7,protein coding gene
ENSMUSG00000004096.8,184.2236043,-2.431718681,0.281788737,-8.629580812,6.15772E-18,2.11485E-16,ENSMUSG00000004096,ENSMUSG00000004096,Cwc15,protein coding gene
ENSMUSG00000004285.12,227.6471077,-2.609362235,0.276481101,-9.437759862,3.80834E-21,1.80796E-19,ENSMUSG00000004285,ENSMUSG00000004285,Atp6v1f,protein coding gene
ENSMUSG00000004366.3,185.3061931,-2.505202129,0.281222438,-8.908258346,5.18405E-19,2.00551E-17,ENSMUSG00000004366,ENSMUSG00000004366,Sst,protein coding gene
ENSMUSG00000004460.16,843.1696355,-2.065392367,0.245409362,-8.416110724,3.89189E-17,1.19533E-15,ENSMUSG00000004460,ENSMUSG00000004460,Dnajb11,protein coding gene
ENSMUSG00000004748.5,51.44822194,-2.378351471,0.630919343,-3.769660096,0.00016347,0.000718342,ENSMUSG00000004748,ENSMUSG00000004748,Mtfp1,protein coding gene
ENSMUSG00000004821.1,588.4215073,-4.476085077,0.313500482,-14.27776139,3.0112E-46,1.47445E-43,ENSMUSG00000004821,ENSMUSG00000004821,Tmed11,protein coding gene
ENSMUSG00000004843.6,66.18987667,-2.08138196,0.408112104,-5.100025065,3.39609E-07,2.60879E-06,ENSMUSG00000004843,ENSMUSG00000004843,Chmp2b,protein coding gene
ENSMUSG00000004849.14,123.4727844,-2.517266416,0.359122289,-7.009496459,2.39177E-12,3.93003E-11,ENSMUSG00000004849,ENSMUSG00000004849,Ap1s1,protein coding gene
ENSMUSG00000004945.15,195.2566138,-2.460793207,0.342118956,-7.192799943,6.34759E-13,1.11005E-11,ENSMUSG00000004945,ENSMUSG00000004945,Tmem242,protein coding gene
ENSMUSG00000005054.6,136.9701191,-2.267105549,0.320193357,-7.080426565,1.43711E-12,2.42414E-11,ENSMUSG00000005054,ENSMUSG00000005054,Cstb,protein coding gene
ENSMUSG00000005161.15,230.969668,-2.546670912,0.286445029,-8.890609565,6.07746E-19,2.3301E-17,ENSMUSG00000005161,ENSMUSG00000005161,Prdx2,protein coding gene
ENSMUSG00000005510.9,217.9813296,-2.237721764,0.321998656,-6.949475485,3.66647E-12,5.86703E-11,ENSMUSG00000005510,ENSMUSG00000005510,Ndufs3,protein coding gene
ENSMUSG00000005656.8,66.8620937,-2.017435596,0.498271679,-4.048866675,5.14663E-05,0.000254627,ENSMUSG00000005656,ENSMUSG00000005656,Snx6,protein coding gene
ENSMUSG00000005687.14,196.4696856,-2.442360445,0.324223689,-7.532948785,4.96071E-14,1.01816E-12,ENSMUSG00000005687,ENSMUSG00000005687,Bcas2,protein coding gene
ENSMUSG00000005779.12,256.6011943,-2.358490765,0.308502122,-7.6449742,2.08987E-14,4.52797E-13,ENSMUSG00000005779,ENSMUSG00000005779,Psmb4,protein coding gene
ENSMUSG00000005873.5,2924.055971,-2.89414155,0.272917775,-10.60444507,2.84146E-26,2.20759E-24,ENSMUSG00000005873,ENSMUSG00000005873,Reep5,protein coding gene
ENSMUSG00000006057.15,743.3956701,-2.701899613,0.333820641,-8.093866218,5.78002E-16,1.52397E-14,ENSMUSG00000006057,ENSMUSG00000006057,Atp5mc1,protein coding gene
ENSMUSG00000006058.10,190.1798398,-2.0233663,0.320206466,-6.318942668,2.63359E-10,3.24942E-09,ENSMUSG00000006058,ENSMUSG00000006058,Snf8,protein coding gene
ENSMUSG00000006315.9,826.4275644,-2.143814516,0.31418896,-6.823328597,8.89549E-12,1.35753E-10,ENSMUSG00000006315,ENSMUSG00000006315,Tmem147,protein coding gene
ENSMUSG00000006333.14,3699.997952,-2.650128295,0.249484,-10.62243787,2.34359E-26,1.8509E-24,ENSMUSG00000006333,ENSMUSG00000006333,Rps9,protein coding gene
ENSMUSG00000006373.10,159.6357083,-2.344610714,0.284995952,-8.226821101,1.92247E-16,5.4012E-15,ENSMUSG00000006373,ENSMUSG00000006373,Pgrmc1,protein coding gene
ENSMUSG00000006412.10,46.92393795,-2.775942543,0.518879802,-5.349875895,8.80146E-08,7.4673E-07,ENSMUSG00000006412,ENSMUSG00000006412,Pfdn2,protein coding gene
