gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,Input,Symbol,Feature Type
ENSMUSG00000057715.13,26.84518393,2.387268051,0.592330853,4.030294956,5.57069E-05,0.000211899,ENSMUSG00000057715,ENSMUSG00000057715,A830018L16Rik,protein coding gene
ENSMUSG00000090622.1,32.66301593,3.962140787,0.808623235,4.899860175,9.59049E-07,5.10041E-06,ENSMUSG00000090622,ENSMUSG00000090622,A930033H14Rik,protein coding gene
ENSMUSG00000020804.12,23.50145786,8.522415335,1.553773228,5.484980166,4.13516E-08,2.72286E-07,ENSMUSG00000020804,ENSMUSG00000020804,Aanat,protein coding gene
ENSMUSG00000025375.15,471.3187784,2.782428624,0.298428297,9.323608553,1.12449E-20,2.90249E-19,ENSMUSG00000025375,ENSMUSG00000025375,Aatk,protein coding gene
ENSMUSG00000026198.15,14.1296784,2.40833894,0.858748242,2.804476124,0.005039842,0.012095505,ENSMUSG00000026198,ENSMUSG00000026198,Abcb6,protein coding gene
ENSMUSG00000040136.10,2230.713511,4.623073563,0.246071463,18.7875242,9.55335E-79,8.34286E-76,ENSMUSG00000040136,ENSMUSG00000040136,Abcc8,protein coding gene
ENSMUSG00000032131.15,33.18951466,2.187313504,0.573532494,3.813756898,0.00013687,0.000480352,ENSMUSG00000032131,ENSMUSG00000032131,Abcg4,protein coding gene
ENSMUSG00000024254.15,11.74957381,4.039063885,1.148317114,3.517376723,0.000435835,0.001367874,ENSMUSG00000024254,ENSMUSG00000024254,Abcg8,protein coding gene
ENSMUSG00000055882.8,30.56580454,3.226060171,0.685338784,4.707248804,2.51082E-06,1.24026E-05,ENSMUSG00000055882,ENSMUSG00000055882,Abhd16b,protein coding gene
ENSMUSG00000023328.14,37.04647589,2.891225013,0.68092768,4.246008933,2.17612E-05,9.0491E-05,ENSMUSG00000023328,ENSMUSG00000023328,Ache,protein coding gene
ENSMUSG00000012777.14,30.87710331,6.475293792,1.144966703,5.655442884,1.55445E-08,1.09429E-07,ENSMUSG00000012777,ENSMUSG00000012777,Acp4,protein coding gene
ENSMUSG00000031972.4,25.76669871,3.859925045,0.760349088,5.076516967,3.84416E-07,2.18287E-06,ENSMUSG00000031972,ENSMUSG00000031972,Acta1,protein coding gene
ENSMUSG00000078129.1,7.898569857,6.955818055,1.754128123,3.965399086,7.32732E-05,0.000272632,ENSMUSG00000078129,ENSMUSG00000078129,Actl10,protein coding gene
ENSMUSG00000029712.14,16.56039651,3.957588586,1.004374127,3.940352982,8.13618E-05,0.000299958,ENSMUSG00000029712,ENSMUSG00000029712,Actl6b,protein coding gene
ENSMUSG00000061393.13,103.7294443,2.734158042,0.348124184,7.853973292,4.0306E-15,6.03841E-14,ENSMUSG00000061393,ENSMUSG00000061393,Acvr2b,protein coding gene
ENSMUSG00000062438.4,27.24104695,2.683647,0.61012114,4.398547804,1.08978E-05,4.80047E-05,ENSMUSG00000062438,ENSMUSG00000062438,Adam1b,protein coding gene
ENSMUSG00000037437.18,5.980087478,6.509046174,1.851308052,3.51591739,0.000438237,0.001373608,ENSMUSG00000037437,ENSMUSG00000037437,Adam32,protein coding gene
ENSMUSG00000014852.16,12.75433789,3.575627831,1.148548542,3.113170842,0.001850888,0.004993277,ENSMUSG00000014852,ENSMUSG00000014852,Adamts13,protein coding gene
ENSMUSG00000059901.12,34.16717351,2.347556746,0.515156466,4.556978126,5.18948E-06,2.43053E-05,ENSMUSG00000059901,ENSMUSG00000059901,Adamts14,protein coding gene
ENSMUSG00000058145.16,41.42618646,2.590204245,0.514787212,5.031601769,4.86399E-07,2.7149E-06,ENSMUSG00000058145,ENSMUSG00000058145,Adamts17,protein coding gene
ENSMUSG00000053399.8,16.64585713,2.63805758,0.770667763,3.423080227,0.000619158,0.00187555,ENSMUSG00000053399,ENSMUSG00000053399,Adamts18,protein coding gene
ENSMUSG00000020709.15,193.0510128,2.188140059,0.302677466,7.229279698,4.85562E-13,5.81537E-12,ENSMUSG00000020709,ENSMUSG00000020709,Adap2,protein coding gene
ENSMUSG00000022840.8,313.9540328,2.251616109,0.231721874,9.71689065,2.55463E-22,7.75979E-21,ENSMUSG00000022840,ENSMUSG00000022840,Adcy5,protein coding gene
ENSMUSG00000005580.11,501.674851,3.117814722,0.208842406,14.92903082,2.13344E-50,5.26057E-48,ENSMUSG00000005580,ENSMUSG00000005580,Adcy9,protein coding gene
ENSMUSG00000050994.20,36.80793802,2.110383124,0.70837632,2.979183613,0.002890175,0.007412529,ENSMUSG00000050994,ENSMUSG00000050994,Adgb,protein coding gene
ENSMUSG00000034730.16,10.39834856,3.165050118,1.072782747,2.950317877,0.003174471,0.008030627,ENSMUSG00000034730,ENSMUSG00000034730,Adgrb1,protein coding gene
