gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000015488.14,298.391842206647,-0.00654522173462352,0.210770018248077,-0.0310538557097802,0.975226589712894,0.994245884219296
ENSMUSG00000015501.10,399.887942580272,0.208034958447092,0.17945396504423,1.1592664358005,0.246347598549245,0.629010895448014
ENSMUSG00000015522.18,216.557265060589,-0.128798733610127,0.233175883442321,-0.552367301921198,0.580696728383348,0.867816239936449
ENSMUSG00000015533.8,7.35931883608926,-1.82364159101241,0.960810328478345,-1.89802454965337,0.0576928481531602,0.29148979605602
ENSMUSG00000015536.14,35.6394182786823,-0.402502627807673,0.410789463599915,-0.979827048825398,0.327171497872901,0.707299352535526
ENSMUSG00000015542.17,81.7234695703848,0.600975171567064,0.332527934166403,1.80729228981504,0.0707167175721119,0.328133082598883
ENSMUSG00000015568.15,380.477469226862,0.0313082858110797,0.281996798811829,0.111023550419702,0.91159767164407,0.978532847523634
ENSMUSG00000015575.14,126.105924610226,-0.0993015485173531,0.25928786086169,-0.382978008254396,0.70173607011629,0.917010716320893
ENSMUSG00000015597.16,176.537447779421,-0.113640888164718,0.242009195314791,-0.469572604532241,0.63866040119683,0.894485422698417
ENSMUSG00000015599.8,5.12774900453038,1.87911620225758,1.10884218596154,1.69466514355972,0.0901389615577369,0.3769094443307
ENSMUSG00000015605.5,324.796886607167,-0.30617753562975,0.220093712780393,-1.39112349808579,0.164187980451992,0.520668727263804
ENSMUSG00000015619.10,7.285705206644,-0.898284100356057,0.912758155092368,-0.984142508444806,0.325045448713854,0.705602558026319
ENSMUSG00000015627.5,40.9293688944381,-0.844863150398954,0.576460974414791,-1.46560337628517,0.142756370931083,0.487842823149027
ENSMUSG00000015647.9,1381.9161675101,0.94346479328186,0.235625939269291,4.00407865198405,6.22596498711447E-05,0.00137855016888327
ENSMUSG00000015652.9,2.80625315886297,-1.58495393698337,1.75656373980727,-0.902303685921054,0.366895568105844,NA
ENSMUSG00000015653.13,55.0983924612455,-0.369687044811551,0.520414404033001,-0.710370508476757,0.477474406475347,0.815393732270215
ENSMUSG00000015656.16,1817.27194490169,-0.156070061808791,0.203733400657852,-0.766050442906481,0.443646288499586,0.793789485485325
ENSMUSG00000015659.12,66.9071100842406,-1.09098676621272,0.348572168945372,-3.12987341907866,0.00174881642940387,0.0221711342682769
ENSMUSG00000015668.13,39.9467204952898,-0.532509823528941,0.381252567584972,-1.39673767157059,0.162492471389129,0.517829893317782
ENSMUSG00000015671.10,41.6958102175856,0.115905558225979,0.384565486529925,0.301393552686792,0.763114410100475,0.936537319596438
ENSMUSG00000015672.3,10.7654553314703,0.377942848370224,0.827689596648743,0.456623896084339,0.647941400403348,0.896152040163704
ENSMUSG00000015697.14,183.947935109108,-0.534821526955894,0.240875790199659,-2.22032079900013,0.0263969990415244,0.171433298607967
ENSMUSG00000015702.13,46.9765827514974,1.10122071935347,0.387281461607383,2.84346354917928,0.00446261135969649,0.0456450939425631
ENSMUSG00000015709.9,9.48859443303004,1.88345951107757,0.873839745482372,2.155383204775,0.0311318595467317,0.192999853187155
ENSMUSG00000015711.8,56.5423213381819,0.368772517328888,0.35554935107794,1.03719080406379,0.299646942921516,0.683377042212685
ENSMUSG00000015714.11,274.72471390924,-0.0190285293542445,0.235466676303296,-0.0808119843239923,0.935591477131641,0.983369934581649
ENSMUSG00000015733.13,85.2424599290414,0.207320430787678,0.455717300573484,0.454932104896571,0.649158084983329,0.896788845853136
ENSMUSG00000015745.9,100.330374835145,0.821549627007462,0.286168097883824,2.87086377930564,0.00409351885470526,0.042506245021215
ENSMUSG00000015747.5,62.8516221654759,0.104570724672015,0.347562968873389,0.300868429714987,0.763514824963482,0.936542050952363
ENSMUSG00000015748.13,78.5386276977548,-0.0408611016323153,0.288867447696292,-0.141452773437025,0.887512266162045,0.971603882373434
ENSMUSG00000015749.12,50.7032178651603,-0.357856169571296,0.349890573500223,-1.02276596363082,0.306418514440417,0.688889478929349
ENSMUSG00000015750.15,60.3674732579049,-0.273493798576075,0.406733172569897,-0.672415767929711,0.501319047386795,0.828103182210233
ENSMUSG00000015755.16,346.343846649447,-0.400212410159751,0.204665406861422,-1.9554472653541,0.0505303019512432,0.266133366019963
ENSMUSG00000015757.10,57.919555154584,0.207002917315962,0.339446145714056,0.609825505252128,0.541977404161693,0.852389741691104
ENSMUSG00000015759.10,52.685755641332,-0.268179418830965,0.334673949918219,-0.801315486002114,0.422949027930395,0.78039776165703
ENSMUSG00000015766.14,207.165596315044,0.00948001618812244,0.2399194178886,0.0395133344001537,0.968481122505739,0.992803967267648
ENSMUSG00000015776.12,119.527167467854,-0.749471023502425,0.302407138296126,-2.47835096659829,0.0131991239670796,0.104527967227961
ENSMUSG00000015790.16,46.8373498042955,0.165809763993532,0.411193809857405,0.403239932164914,0.686771726052884,0.912395237569343
ENSMUSG00000015804.14,85.0071496829158,0.496326299771303,0.302052939718386,1.64317652473121,0.100346415449659,0.402352967157572
ENSMUSG00000015806.12,155.499851195431,0.186672067322678,0.275766873290079,0.676919838469203,0.498456816312199,0.827841436172604
ENSMUSG00000015812.7,5.35026377453687,0.0220955681985972,0.979415444751924,0.0225599548352985,0.982001287102962,0.995941208123586
ENSMUSG00000015829.13,86.9783921422951,2.03524030340559,0.371096821328945,5.48439163697803,4.14894710221717E-08,2.30101923415028E-06
ENSMUSG00000015837.15,882.55690357989,0.612980858942766,0.164391511352892,3.72878656506118,0.000192404025530464,0.00361818980195609
ENSMUSG00000015839.6,214.473016179711,0.37844308593397,0.24494844681941,1.54499075559757,0.122348499440765,0.447441550184251
ENSMUSG00000015843.10,3.17751662462819,2.67806856017925,1.61395602989523,1.65931940559315,0.097051446935042,0.394391434741843
ENSMUSG00000015846.14,417.780811693728,-0.269966678408434,0.213581455405373,-1.26399868329412,0.206230499551781,0.582913115015165
ENSMUSG00000015850.11,209.943443715738,-0.406706331532602,0.223191318793892,-1.82223185798808,0.0684198125892046,0.322008115822577
ENSMUSG00000015852.13,50.1029822642864,0.371335888591319,0.375310428122204,0.989409994412436,0.322462586589641,0.703386363805847
ENSMUSG00000015854.7,26.6176363210612,0.253892607758262,1.48707052032466,0.170733401199314,0.864433398061894,0.966443841299199
