gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000032342.13,105.588433874275,-0.770191654011124,0.364555267774669,-2.11268831393537,0.0346274541703661,0.065125342063595
ENSMUSG00000032344.17,15.4542077496903,-0.664731354168133,0.717171270468226,-0.926879507783606,0.35398909797736,0.459796963013383
ENSMUSG00000032348.5,65.4273142705514,-0.991153546565128,0.435249559018415,-2.27720746874598,0.0227738393491491,0.0451833490078394
ENSMUSG00000032349.13,296.950698787746,-1.3217847767361,0.258448720553514,-5.11430187739083,3.14903408713912E-07,1.81270544994092E-06
ENSMUSG00000032350.8,281.003295715158,0.223962327076721,0.345173191747886,0.648840444249514,0.516441512696735,0.618908894997477
ENSMUSG00000032352.15,183.02794860355,-0.0252517636917973,0.256866577408242,-0.0983069262906255,0.921688578440517,0.945621602934466
ENSMUSG00000032353.8,1785.44917963946,-1.29086125528232,0.180078281591012,-7.1683339260982,7.59159509917852E-13,8.94894497658507E-12
ENSMUSG00000032356.12,88.8613565723869,2.51459035118532,0.363482064989727,6.91805894537434,4.57873787034654E-12,4.93651064941323E-11
ENSMUSG00000032357.12,75.5727564883121,-2.08845408425397,0.37789231083329,-5.52658528470379,3.2652356818702E-08,2.18296888855877E-07
ENSMUSG00000032358.12,19.0348044539338,-0.309804023039045,0.675368735409743,-0.458718336807652,0.646436444440304,0.73204351842578
ENSMUSG00000032359.14,547.173462356041,-0.455769918610253,0.207021567414778,-2.20155766523154,0.0276965691357427,0.0536449859085141
ENSMUSG00000032363.15,131.420253962791,1.21063070448112,0.273160044353577,4.43194650720616,9.33861888992314E-06,4.15823482714891E-05
ENSMUSG00000032366.15,922.999645463936,-0.650370529440734,0.216397335018434,-3.00544611321268,0.00265191581153263,0.00686869791076524
ENSMUSG00000032369.13,79.4434747239218,-2.03440113511516,0.518368881952968,-3.92462048927493,8.68665734155724E-05,0.000318237460621741
ENSMUSG00000032370.7,60.5021968842581,-2.10432302949185,0.441923066072695,-4.76174065362248,1.91930239896003E-06,9.702522667584E-06
ENSMUSG00000032372.14,101.097024275671,-2.71614089006735,0.358647884220648,-7.57328011559193,3.63916434374233E-14,4.87680597701377E-13
ENSMUSG00000032373.14,2.32686431164438,1.26750471512283,1.96236959641702,0.645905194127086,0.518340755582426,0.620298269741468
ENSMUSG00000032374.14,59.4128059962308,-1.34578512158815,0.383070618200969,-3.51315151213742,0.000442824883931864,0.00138483538381497
ENSMUSG00000032375.15,44.4898823558967,-2.00337661313152,0.490679763925468,-4.08285965800665,4.44848897120515E-05,0.000172979369846918
ENSMUSG00000032376.12,311.454313064628,-0.0227015103489798,0.197295929922965,-0.115063247162999,0.90839499088378,0.937034948644035
ENSMUSG00000032377.8,122.486979694593,-0.707433476839297,0.375728813210954,-1.88282998792032,0.059723411690827,0.104207707761242
ENSMUSG00000032380.8,65.021230718724,-0.0385285599738137,0.380339918731867,-0.101300331824953,0.9193120527922,0.944040240787443
ENSMUSG00000032381.5,169.392494342137,-2.79411197068269,0.283549823795753,-9.85404234528936,6.58413456699036E-23,2.13617455711379E-21
ENSMUSG00000032382.14,359.648137711682,-0.723007865585869,0.206714319049816,-3.4976186889677,0.000469431780546604,0.00145976568078283
ENSMUSG00000032383.6,641.90570585792,-2.7851360714804,0.210055135692785,-13.2590715399303,3.9981504821837E-40,4.8159331009246E-38
ENSMUSG00000032384.16,318.715660516565,0.853163946069142,0.198233586825407,4.30383145324693,1.67869392437809E-05,7.15407603925182E-05
ENSMUSG00000032386.15,161.220015892561,-1.2039403474094,0.285901642740988,-4.21102983483068,2.54209167389271E-05,0.000103859063144478
ENSMUSG00000032387.14,38.8709912192433,0.408773128333042,0.520385069270522,0.785520477953109,0.432148468668416,0.538361849430655
ENSMUSG00000032388.6,320.25754326189,-1.63698681387656,0.245597360846343,-6.66532738069908,2.64076029079206E-11,2.63184474249695E-10
ENSMUSG00000032392.10,264.143052026688,-0.392847851671625,0.242789805164232,-1.618057444405,0.105650218463755,0.169705926485426
ENSMUSG00000032393.14,675.931991668921,0.119353114746323,0.170223685389228,0.701154568903935,0.483206558535132,0.587545759722563
ENSMUSG00000032394.5,1.90111739484218,-0.543814439941689,1.98243809285752,-0.274315975818356,0.783841808310644,0.842993107579896
ENSMUSG00000032396.17,195.955060747964,-0.115575193454981,0.236980810607183,-0.487698532040881,0.625763391697747,0.715046065128834
ENSMUSG00000032397.6,53.0179372782432,-1.53835904945312,0.517738746959676,-2.97130369030103,0.00296538386995176,0.0075729841026342
ENSMUSG00000032398.6,113.641669254478,-1.83305908944028,0.326868746839098,-5.60793623485395,2.04753431057415E-08,1.41537835142888E-07
ENSMUSG00000032399.7,8000.18906393638,-1.10775979845552,0.181212399742819,-6.11304634797443,9.77469667378542E-10,8.02145135418436E-09
ENSMUSG00000032400.17,14.7132211120611,-0.536317878398344,0.916041348967381,-0.58547343851117,0.558229421429546,0.655786458979384
ENSMUSG00000032401.15,9.76509480112163,0.256440045205702,1.01797610565741,0.251911654684755,0.801109350906394,0.856786798267445
ENSMUSG00000032402.12,630.582118343594,1.00569217240925,0.225802459800151,4.45385835610184,8.43407522053308E-06,3.78846512102771E-05
ENSMUSG00000032403.8,28.811584479477,0.239228059307733,0.526653125967595,0.45424217100812,0.649654533446475,0.734691493985352
ENSMUSG00000032405.9,213.807890115267,0.256594727734435,0.23000481987573,1.11560587240333,0.264590877338217,0.363524103450127
ENSMUSG00000032407.13,342.883790645977,-0.660097661281747,0.214912170592343,-3.07147640574464,0.0021300299748525,0.00566108270896952
ENSMUSG00000032409.14,116.858422223237,-0.237020523296091,0.358701183223069,-0.660774300119029,0.50875706657257,0.612149914363309
ENSMUSG00000032410.13,318.748349406836,0.0793721630003706,0.203937100273155,0.38919923296967,0.697128770814714,0.7740737329744
ENSMUSG00000032411.15,633.134814275464,-0.489632516284204,0.165376238230679,-2.96071867109002,0.00306922154721142,0.00779617063064251
ENSMUSG00000032412.8,1048.95009627519,-1.81130525434343,0.191240946410278,-9.47132551026783,2.76314788588404E-21,7.61009415771927E-20
ENSMUSG00000032413.12,129.117974088633,-0.417393303411621,0.346267072142701,-1.2054085906257,0.228045606753432,0.322271449797396
ENSMUSG00000032415.14,14.9805003376519,-2.07307816281243,0.767441855424795,-2.70128368443618,0.00690723954087811,0.0159437041340599
ENSMUSG00000032417.10,5.1313681758774,-2.95333132099145,1.55337256693852,-1.90123823727108,0.0572708147768379,0.10053932548017
ENSMUSG00000032418.15,472.109600084696,-3.15306942052368,0.241058967491631,-13.0800751921131,4.28016591567074E-39,4.72147354876543E-37
ENSMUSG00000032419.8,9.42640040483158,-0.0120057909002171,1.22793475241677,-0.00977722218268343,0.992199029660851,0.994524125426197
ENSMUSG00000032420.7,33.4698055697302,-0.0403085861018665,0.702195595522858,-0.0574036441681929,0.954223660164643,0.968830775245398
ENSMUSG00000032422.17,184.105406149095,-1.09967782388969,0.268569145908633,-4.09457988991707,4.22934565090758E-05,0.000165255137019709
ENSMUSG00000032423.12,464.228320359963,-1.95362782648578,0.231571549678487,-8.43638965666633,3.2729037688181E-17,6.05443866643059E-16
